F:\anaconda\python.exe F:/pycharmpython/TorchDface/train_R_Net.py
Use Gpu
load state success
epoch:0 loss:0.1216 cls_loss:0.1152 bbox_offset_loss:0.0065
save 0
epoch:1 loss:0.1255 cls_loss:0.1175 bbox_offset_loss:0.0080
epoch:2 loss:0.0296 cls_loss:0.0233 bbox_offset_loss:0.0062
save 2
epoch:3 loss:0.0116 cls_loss:0.0058 bbox_offset_loss:0.0058
save 3
epoch:4 loss:0.0058 cls_loss:0.0016 bbox_offset_loss:0.0042
save 4
epoch:5 loss:0.0270 cls_loss:0.0228 bbox_offset_loss:0.0042
epoch:6 loss:0.0036 cls_loss:0.0001 bbox_offset_loss:0.0034
save 6
epoch:7 loss:0.1376 cls_loss:0.1330 bbox_offset_loss:0.0046
epoch:8 loss:0.0283 cls_loss:0.0204 bbox_offset_loss:0.0079
epoch:9 loss:0.0151 cls_loss:0.0022 bbox_offset_loss:0.0129
epoch:10 loss:0.0121 cls_loss:0.0055 bbox_offset_loss:0.0066
epoch:11 loss:0.0083 cls_loss:0.0016 bbox_offset_loss:0.0067
epoch:12 loss:0.0083 cls_loss:0.0002 bbox_offset_loss:0.0080
epoch:13 loss:0.0061 cls_loss:0.0000 bbox_offset_loss:0.0061
epoch:14 loss:0.0095 cls_loss:0.0040 bbox_offset_loss:0.0055
epoch:15 loss:0.0108 cls_loss:0.0051 bbox_offset_loss:0.0056
epoch:16 loss:0.0110 cls_loss:0.0008 bbox_offset_loss:0.0102
epoch:17 loss:0.0491 cls_loss:0.0370 bbox_offset_loss:0.0121
epoch:18 loss:0.0067 cls_loss:0.0001 bbox_offset_loss:0.0066
epoch:19 loss:0.1607 cls_loss:0.1511 bbox_offset_loss:0.0095
epoch:20 loss:0.0088 cls_loss:0.0001 bbox_offset_loss:0.0087
epoch:21 loss:0.0044 cls_loss:0.0008 bbox_offset_loss:0.0035
epoch:22 loss:0.0096 cls_loss:0.0058 bbox_offset_loss:0.0038
epoch:23 loss:0.0092 cls_loss:0.0041 bbox_offset_loss:0.0051
epoch:24 loss:0.0111 cls_loss:0.0005 bbox_offset_loss:0.0106
epoch:25 loss:0.0139 cls_loss:0.0058 bbox_offset_loss:0.0081
epoch:26 loss:0.0035 cls_loss:0.0003 bbox_offset_loss:0.0031
save 26
epoch:27 loss:0.0195 cls_loss:0.0102 bbox_offset_loss:0.0093
